v1,v2,caption
model_005/video_056_02.mp4,model_003/video_056_00.mp4,"
                Prompt: A handheld camera captures a long shot of an indoor escalator. In the foreground, a lone banana sits incongruously on a step, as the bustling mall shoppers move in the background.

                V1: model_005/video_056_02.mp4 	 | 	 V2: model_003/video_056_00.mp4

                -Votes- V1: 0 | V2: 3

                -monst3r_theta_consistency- V1: 7.283407225374167e-05 | V2: 5.895103312876817e-05

                -vbench_motion_smoothness- V1: 0.9915274624811826 | V2: 0.9845614095036668
-monst3r_v2_theta_consistency- V1: 7.42773554017427e-05 | V2: 4.768040826531932e-05
-vggsfm_theta_consistency- V1: 0.0002139342067173 | V2: 0.0006352460905129
"
model_000/video_070_02.mp4,model_001/video_070_01.mp4,"
                Prompt: In an ancient, dimly lit catacomb, a woman steels herself as she gets a piercing. The camera trucks horizontally, revealing eerie walls adorned with skulls and cobwebs, creating a palpable sense of depth and foreboding.

                V1: model_000/video_070_02.mp4 	 | 	 V2: model_001/video_070_01.mp4

                -Votes- V1: 0 | V2: 3

                -monst3r_theta_consistency- V1: 8.190499924612404e-05 | V2: 5.487777598854351e-05

                -vbench_motion_smoothness- V1: 0.9979458568471112 | V2: 0.9973255797597732
-monst3r_v2_theta_consistency- V1: 0.0001378219365979 | V2: 4.892224925286516e-05
-vggsfm_theta_consistency- V1: 0.0001711841913891 | V2: 0.0004233788226624
"
model_005/video_042_02.mp4,model_005/video_042_01.mp4,"
                Prompt: In a sunlit orchard, amidst rows of apple trees, a medium shot captures a person warmly hugging a friend. The camera arcs around them, revealing lush greenery and ripening fruit in the background.

                V1: model_005/video_042_02.mp4 	 | 	 V2: model_005/video_042_01.mp4

                -Votes- V1: 0 | V2: 3

                -monst3r_theta_consistency- V1: 7.266053417638814e-05 | V2: 5.715145101043966e-05

                -vbench_motion_smoothness- V1: 0.9927208506377088 | V2: 0.9916125822827444
-monst3r_v2_theta_consistency- V1: 6.808546591466806e-05 | V2: 6.62148030745969e-05
-vggsfm_theta_consistency- V1: 0.0012137217342684 | V2: 0.0009554709908304
"
model_007/video_026_00.mp4,model_004/video_026_02.mp4,"
                Prompt: A drone follows two men carrying a basket through the sprawling, complex machinery of an outdoor power plant, revealing towering structures and intricate pipes against a backdrop of clear blue sky.

                V1: model_007/video_026_00.mp4 	 | 	 V2: model_004/video_026_02.mp4

                -Votes- V1: 0 | V2: 3

                -monst3r_theta_consistency- V1: 8.787681829355924e-05 | V2: 6.385671082006415e-05

                -vbench_motion_smoothness- V1: 0.99298336101663 | V2: 0.9844663546316044
-monst3r_v2_theta_consistency- V1: 8.26912327939478e-05 | V2: 5.783899671538992e-05
-vggsfm_theta_consistency- V1: 0.0015487128921644 | V2: 0.0021405091348047
"
model_005/video_093_00.mp4,model_005/video_093_01.mp4,"
                Prompt: The camera pushes in low over a vibrant lawn, revealing a solitary apple glistening with morning dew as it lies nestled in the grass, with the background gradually entering the frame, showcasing a serene garden.

                V1: model_005/video_093_00.mp4 	 | 	 V2: model_005/video_093_01.mp4

                -Votes- V1: 0 | V2: 3

                -monst3r_theta_consistency- V1: 0.0001276671022647 | V2: 6.90029402782542e-05

                -vbench_motion_smoothness- V1: 0.9961287010644826 | V2: 0.9958413783988712
-monst3r_v2_theta_consistency- V1: 0.0001374457437253 | V2: 7.361438698572087e-05
-vggsfm_theta_consistency- V1: 0.0003787365145561 | V2: 0.0002595992208742
"
model_002/video_060_01.mp4,model_002/video_060_00.mp4,"
                Prompt: Three men walk along a sandy beach, their long shadows cast by the setting sun, while the camera follows their movement, capturing a medium shot aboard a boat deck.

                V1: model_002/video_060_01.mp4 	 | 	 V2: model_002/video_060_00.mp4

                -Votes- V1: 0 | V2: 3

                -monst3r_theta_consistency- V1: 0.0001209645814587 | V2: 6.57001691470834e-05

                -vbench_motion_smoothness- V1: 0.9956491382457238 | V2: 0.9943833363497672
-monst3r_v2_theta_consistency- V1: 8.62979879224568e-05 | V2: 5.813763423780557e-05
-vggsfm_theta_consistency- V1: 0.0004087596726328 | V2: 0.0004460243447757
"
model_007/video_069_01.mp4,model_007/video_069_02.mp4,"
                Prompt: In a vast, silent anechoic chamber, a man is chasing a playful dog. The wide shot, with its steady and smooth perspective, reveals the chamber's intricate, sound-absorbing walls as the background stretches infinitely.

                V1: model_007/video_069_01.mp4 	 | 	 V2: model_007/video_069_02.mp4

                -Votes- V1: 0 | V2: 3

                -monst3r_theta_consistency- V1: 6.15180372404352e-05 | V2: 4.814913228977357e-05

                -vbench_motion_smoothness- V1: 0.9953630830378852 | V2: 0.9940598366413866
-monst3r_v2_theta_consistency- V1: 5.4620254001405895e-05 | V2: 4.491446230354652e-05
-vggsfm_theta_consistency- V1: 7.194167881934543e-05 | V2: 9.171695128074752e-05
"
model_007/video_058_02.mp4,model_005/video_058_00.mp4,"
                Prompt: In a cozy living room, a man carefully cuts his hair while sitting near a coffee table. The camera performs a low-angle dolly shot, revealing a bookshelf in the background and a soft rug in the foreground.

                V1: model_007/video_058_02.mp4 	 | 	 V2: model_005/video_058_00.mp4

                -Votes- V1: 0 | V2: 3

                -monst3r_theta_consistency- V1: 6.819257836281009e-05 | V2: 5.3826783545471327e-05

                -vbench_motion_smoothness- V1: 0.9969131326774896 | V2: 0.9950654790272592
-monst3r_v2_theta_consistency- V1: 6.98894613759677e-05 | V2: 5.8630305735211446e-05
-vggsfm_theta_consistency- V1: 0.0095146801813934 | V2: 0.0012086574295133
"
model_002/video_078_02.mp4,model_002/video_078_01.mp4,"
                Prompt: A lone man stands on a desolate desert road, gently holding a cat. The camera arcs around him, revealing vast, arid landscapes with cacti and distant mountains, highlighting their isolation.

                V1: model_002/video_078_02.mp4 	 | 	 V2: model_002/video_078_01.mp4

                -Votes- V1: 0 | V2: 3

                -monst3r_theta_consistency- V1: 0.0001085730667335 | V2: 6.162803959253171e-05

                -vbench_motion_smoothness- V1: 0.994773099791474 | V2: 0.9945156410194798
-monst3r_v2_theta_consistency- V1: 6.871762779192917e-05 | V2: 5.965683199296024e-05
-vggsfm_theta_consistency- V1: 0.0011541562215301 | V2: 0.0026089601913595
"
model_002/video_066_02.mp4,model_001/video_066_01.mp4,"
                Prompt: A kid bravely dives off a cliff into a lush indoor swimming pool as the helicopter camera turns left, revealing sunlit water, surrounding palms, and cheerful onlookers creating a dynamic, immersive scene.

                V1: model_002/video_066_02.mp4 	 | 	 V2: model_001/video_066_01.mp4

                -Votes- V1: 0 | V2: 3

                -monst3r_theta_consistency- V1: 0.0004214496895192 | V2: 0.000194709223117

                -vbench_motion_smoothness- V1: 0.9918720402094052 | V2: 0.9850877722384678
-monst3r_v2_theta_consistency- V1: 0.0003607319840889 | V2: 0.0001873221818264
-vggsfm_theta_consistency- V1: 0.0015120306125174 | V2: 0.0057179676459234
"
