v1,v2,caption
model_003/video_040_01.mp4,model_004/video_040_01.mp4,"
                Prompt: In a dimly lit jail cell, a man grasping a phone paces anxiously. The camera smoothly pans around him, revealing stark concrete walls and barred windows casting ominous shadows, highlighting the somber atmosphere.

                V1: model_003/video_040_01.mp4 	 | 	 V2: model_004/video_040_01.mp4

                -Votes- V1: 0 | V2: 3

                -vggsfm_theta_consistency- V1: 0.0099698843424265 | V2: 0.0036722926580592

                -vbench_motion_smoothness- V1: 0.9952775475358472 | V2: 0.981165326544654
-monst3r_theta_consistency- V1: 6.07820963436126e-05 | V2: 0.0001085671983514
-monst3r_v2_theta_consistency- V1: 6.653165876344004e-05 | V2: 0.0001259659332933
-vggsfm_theta_consistency- V1: 0.0099698843424265 | V2: 0.0036722926580592
"
model_003/video_077_02.mp4,model_003/video_077_00.mp4,"
                Prompt: In a lively bar, a single dog excitedly jumps on a man. The wide-angle camera captures the scene with a trucking shot, revealing patrons at tables and the bartender in the background.

                V1: model_003/video_077_02.mp4 	 | 	 V2: model_003/video_077_00.mp4

                -Votes- V1: 0 | V2: 3

                -vggsfm_theta_consistency- V1: 0.0013783861778095 | V2: 0.0006861761482691

                -vbench_motion_smoothness- V1: 0.987684467725798 | V2: 0.9892422948660644
-monst3r_theta_consistency- V1: 7.337317162654124e-05 | V2: 6.575729287564606e-05
-monst3r_v2_theta_consistency- V1: 7.638957498615327e-05 | V2: 6.260366873466351e-05
-vggsfm_theta_consistency- V1: 0.0013783861778095 | V2: 0.0006861761482691
"
model_004/video_006_02.mp4,model_004/video_006_01.mp4,"
                Prompt: A young girl gently rocks a baby, navigating through a cozy bookstore with shelves of books looming overhead. The camera glides backward on a slider, revealing the intricate maze of literature and warm, inviting atmosphere.

                V1: model_004/video_006_02.mp4 	 | 	 V2: model_004/video_006_01.mp4

                -Votes- V1: 0 | V2: 3

                -vggsfm_theta_consistency- V1: 0.0007366971643721 | V2: 0.0001183979884341

                -vbench_motion_smoothness- V1: 0.989545784091204 | V2: 0.9904780707658696
-monst3r_theta_consistency- V1: 5.87527307609505e-05 | V2: 6.762721665650999e-05
-monst3r_v2_theta_consistency- V1: 5.271790328839512e-05 | V2: 6.318936624422635e-05
-vggsfm_theta_consistency- V1: 0.0007366971643721 | V2: 0.0001183979884341
"
model_005/video_034_00.mp4,model_001/video_034_01.mp4,"
                Prompt: An aerial shot captures a cat precariously perched on the edge of a crevasse. In slow motion, the camera moves in to reveal the depth of the icy chasm, then retreats, showing the cat's daring position amidst the expansive landscape.

                V1: model_005/video_034_00.mp4 	 | 	 V2: model_001/video_034_01.mp4

                -Votes- V1: 0 | V2: 3

                -vggsfm_theta_consistency- V1: 0.0019847363619377 | V2: 0.0012770205426911

                -vbench_motion_smoothness- V1: 0.9942209762202286 | V2: 0.9927141373910676
-monst3r_theta_consistency- V1: 0.0002993974166158 | V2: 0.0001762483690124
-monst3r_v2_theta_consistency- V1: 0.000341228110291 | V2: 0.0001625532915707
-vggsfm_theta_consistency- V1: 0.0019847363619377 | V2: 0.0012770205426911
"
model_004/video_081_01.mp4,model_003/video_081_02.mp4,"
                Prompt: In a bustling parking lot, a man is captured mid-air, jumping off a skateboard. The camera, shot on a Sony FS700, dynamically pans around him, revealing parked cars and scattered pedestrians in the background.

                V1: model_004/video_081_01.mp4 	 | 	 V2: model_003/video_081_02.mp4

                -Votes- V1: 0 | V2: 3

                -vggsfm_theta_consistency- V1: 0.0044894238394529 | V2: 0.0013885252864578

                -vbench_motion_smoothness- V1: 0.9891396435468128 | V2: 0.9836359660466693
-monst3r_theta_consistency- V1: 0.0001848044182026 | V2: 0.000236788800837
-monst3r_v2_theta_consistency- V1: 0.0001862326409716 | V2: 0.0001112140787765
-vggsfm_theta_consistency- V1: 0.0044894238394529 | V2: 0.0013885252864578
"
model_005/video_057_02.mp4,model_001/video_057_00.mp4,"
                Prompt: A low-angle dolly shot glides along an assembly line, revealing a man holding a book amidst the industrious setting, with machinery and conveyor belts creating a dynamic, busy backdrop around him.

                V1: model_005/video_057_02.mp4 	 | 	 V2: model_001/video_057_00.mp4

                -Votes- V1: 0 | V2: 3

                -vggsfm_theta_consistency- V1: 0.0016408156629901 | V2: 0.0003423421960111

                -vbench_motion_smoothness- V1: 0.9916126124657764 | V2: 0.9847743517726466
-monst3r_theta_consistency- V1: 8.435833916893357e-05 | V2: 4.750684891055964e-05
-monst3r_v2_theta_consistency- V1: 6.705822837545545e-05 | V2: 4.391901655165942e-05
-vggsfm_theta_consistency- V1: 0.0016408156629901 | V2: 0.0003423421960111
"
model_005/video_039_01.mp4,model_002/video_039_02.mp4,"
                Prompt: A wide-angle tracking shot reveals a tree house bathed in the dappled light of the forest canopy. A man in a wheelchair sits thoughtfully, as the shadow of leaves dances across his face.

                V1: model_005/video_039_01.mp4 	 | 	 V2: model_002/video_039_02.mp4

                -Votes- V1: 0 | V2: 3

                -vggsfm_theta_consistency- V1: 0.0016479196155671 | V2: 0.0002569681611305

                -vbench_motion_smoothness- V1: 0.9867314660058178 | V2: 0.9912795355322284
-monst3r_theta_consistency- V1: 6.288357886088182e-05 | V2: 5.275960690480271e-05
-monst3r_v2_theta_consistency- V1: 5.628497662174241e-05 | V2: 5.403563826705445e-05
-vggsfm_theta_consistency- V1: 0.0016479196155671 | V2: 0.0002569681611305
"
model_004/video_038_00.mp4,model_004/video_038_01.mp4,"
                Prompt: In a meticulously trimmed topiary garden, two cats sip water from a stone fountain. The drone camera gracefully pans around them, casting elongated shadows across the verdant hedges and colorful flower beds.

                V1: model_004/video_038_00.mp4 	 | 	 V2: model_004/video_038_01.mp4

                -Votes- V1: 0 | V2: 3

                -vggsfm_theta_consistency- V1: 0.0028091624172098 | V2: 0.0014075277034208

                -vbench_motion_smoothness- V1: 0.9817984543880685 | V2: 0.9850702099153004
-monst3r_theta_consistency- V1: 0.0004503343750471 | V2: 0.0001024480834472
-monst3r_v2_theta_consistency- V1: 0.0004465317256139 | V2: 9.140281063769766e-05
-vggsfm_theta_consistency- V1: 0.0028091624172098 | V2: 0.0014075277034208
"
model_005/video_090_00.mp4,model_006/video_090_00.mp4,"
                Prompt: In a sunny outdoor kennel, a person crouches, tying a knot on a dog leash. The camera trucks, revealing rows of kennels and playful dogs, creating a sense of depth and movement in the scene.

                V1: model_005/video_090_00.mp4 	 | 	 V2: model_006/video_090_00.mp4

                -Votes- V1: 0 | V2: 3

                -vggsfm_theta_consistency- V1: 0.0013884795930932 | V2: 0.0002444328838853

                -vbench_motion_smoothness- V1: 0.991991829714983 | V2: 0.9918649906078344
-monst3r_theta_consistency- V1: 6.472086666410505e-05 | V2: 0.0001708782597983
-monst3r_v2_theta_consistency- V1: 6.901652193312755e-05 | V2: 0.0002268270099314
-vggsfm_theta_consistency- V1: 0.0013884795930932 | V2: 0.0002444328838853
"
model_005/video_084_02.mp4,model_006/video_084_01.mp4,"
                Prompt: In an indoor athletic field, a lone woman sneezes. The camera, in a boom shot, swings up to reveal reflective gym floors and equipment, then moves back to its initial position.

                V1: model_005/video_084_02.mp4 	 | 	 V2: model_006/video_084_01.mp4

                -Votes- V1: 0 | V2: 3

                -vggsfm_theta_consistency- V1: 0.0026441656510765 | V2: 0.0002369772843277

                -vbench_motion_smoothness- V1: 0.9957173087665574 | V2: 0.9960261964331992
-monst3r_theta_consistency- V1: 5.74474023559522e-05 | V2: 4.678809420079215e-05
-monst3r_v2_theta_consistency- V1: 5.552915424610575e-05 | V2: 6.199408318900979e-05
-vggsfm_theta_consistency- V1: 0.0026441656510765 | V2: 0.0002369772843277
"
model_006/video_053_02.mp4,model_005/video_053_00.mp4,"
                Prompt: In a pet shop, a kid is playing beer pong amid colorful cages while the camera performs a dolly shot, seamlessly revealing rows of animals and pet supplies in the foreground and background.

                V1: model_006/video_053_02.mp4 	 | 	 V2: model_005/video_053_00.mp4

                -Votes- V1: 0 | V2: 3

                -vggsfm_theta_consistency- V1: 0.0078247315777232 | V2: 0.0014949118518948

                -vbench_motion_smoothness- V1: 0.9950849142766744 | V2: 0.9926154110069472
-monst3r_theta_consistency- V1: 5.570186823880581e-05 | V2: 7.746357281703949e-05
-monst3r_v2_theta_consistency- V1: 4.395335715783439e-05 | V2: 8.938563610289564e-05
-vggsfm_theta_consistency- V1: 0.0078247315777232 | V2: 0.0014949118518948
"
model_007/video_013_02.mp4,model_007/video_013_00.mp4,"
                Prompt: In an aquatic theater, a girl tightrope walks gracefully above a shimmering pool, her reflection glistening below. A wide-angle camera captures the scene in slow motion, revealing the surrounding intricate water features with stunning parallax effect.

                V1: model_007/video_013_02.mp4 	 | 	 V2: model_007/video_013_00.mp4

                -Votes- V1: 0 | V2: 3

                -vggsfm_theta_consistency- V1: 0.0293329107975709 | V2: 0.0086558582844587

                -vbench_motion_smoothness- V1: 0.9898410612118452 | V2: 0.993636883464452
-monst3r_theta_consistency- V1: 5.3147721728982254e-05 | V2: 6.125643320479483e-05
-monst3r_v2_theta_consistency- V1: 5.619218352807388e-05 | V2: 6.192858436299271e-05
-vggsfm_theta_consistency- V1: 0.0293329107975709 | V2: 0.0086558582844587
"
model_002/video_097_01.mp4,model_002/video_097_02.mp4,"
                Prompt: Three men bodysurf along a glistening aqueduct, their reflections dancing on the water's surface, as a ground-level dolly shot captures the scene with the ancient structure looming in the background.

                V1: model_002/video_097_01.mp4 	 | 	 V2: model_002/video_097_02.mp4

                -Votes- V1: 0 | V2: 3

                -vggsfm_theta_consistency- V1: 0.0012510089188911 | V2: 0.000151193079036

                -vbench_motion_smoothness- V1: 0.9933348544596188 | V2: 0.9953080306929823
-monst3r_theta_consistency- V1: 6.814008372972118e-05 | V2: 8.025745300042076e-05
-monst3r_v2_theta_consistency- V1: 6.119144542579002e-05 | V2: 9.190968351643717e-05
-vggsfm_theta_consistency- V1: 0.0012510089188911 | V2: 0.000151193079036
"
model_005/video_074_02.mp4,model_003/video_074_01.mp4,"
                Prompt: A lone kid sips from a cup in the entrance hall, his shadow cast on the floor as a drone performs a trucking shot, revealing the hall's grand architecture and intricate details.

                V1: model_005/video_074_02.mp4 	 | 	 V2: model_003/video_074_01.mp4

                -Votes- V1: 0 | V2: 3

                -vggsfm_theta_consistency- V1: 0.009832742388094 | V2: 0.000321466547716

                -vbench_motion_smoothness- V1: 0.9959934906429057 | V2: 0.9956818850816797
-monst3r_theta_consistency- V1: 6.09580289641437e-05 | V2: 6.244108262770906e-05
-monst3r_v2_theta_consistency- V1: 5.602248065227067e-05 | V2: 5.153425831375245e-05
-vggsfm_theta_consistency- V1: 0.009832742388094 | V2: 0.000321466547716
"
model_000/video_015_01.mp4,model_002/video_015_01.mp4,"
                Prompt: Three men on a restaurant patio cheer and watch as one of them starts diving off a cliff. The low-angle camera turns right, revealing diners, tables, and an expansive ocean beyond the cliff.

                V1: model_000/video_015_01.mp4 	 | 	 V2: model_002/video_015_01.mp4

                -Votes- V1: 0 | V2: 3

                -vggsfm_theta_consistency- V1: 0.0283385266890879 | V2: 0.0036257461061248

                -vbench_motion_smoothness- V1: 0.952471368192982 | V2: 0.990931892393917
-monst3r_theta_consistency- V1: 0.0007827778898609 | V2: 8.703331130410034e-05
-monst3r_v2_theta_consistency- V1: 0.0005983021488975 | V2: 0.0001015551453907
-vggsfm_theta_consistency- V1: 0.0283385266890879 | V2: 0.0036257461061248
"
