v1,v2,caption
model_007/video_007_02.mp4,model_003/video_007_00.mp4,"
                Prompt: A man rides a jet ski down a tranquil river, his reflection shimmering on the water. As the wide-angle camera pans around, the lush shoreline and distant mountains shift dynamically in the background.

                V1: model_007/video_007_02.mp4 	 | 	 V2: model_003/video_007_00.mp4

                -Votes- V1: 0 | V2: 3

                -sam_cotracker- V1: 7.255337297310962 | V2: 4.4570063365526345

                -vbench_subject- V1: 0.9357764149914268 | V2: 0.9762171749835428
-sam_cotracker_pair- V1: 4.258963193934349 | V2: -4.258963193934349
"
model_005/video_052_01.mp4,model_002/video_052_01.mp4,"
                Prompt: In a bustling outdoor bazaar, two men chase a frisbee amidst colorful market stalls. The low aerial shot reveals vibrant fabrics and trinkets, moving up and down to capture their playful pursuit.

                V1: model_005/video_052_01.mp4 	 | 	 V2: model_002/video_052_01.mp4

                -Votes- V1: 0 | V2: 3

                -sam_cotracker- V1: 27.24062680564233 | V2: 14.04121362694768

                -vbench_subject- V1: 0.9364229145012504 | V2: 0.938941553980112
-sam_cotracker_pair- V1: 14.08586438312248 | V2: -14.08586438312248
"
model_003/video_091_01.mp4,model_003/video_091_00.mp4,"
                Prompt: A man taps a screen in a playground as the camera turns right, revealing children's equipment and casting his shadow on the ground.

                V1: model_003/video_091_01.mp4 	 | 	 V2: model_003/video_091_00.mp4

                -Votes- V1: 0 | V2: 3

                -sam_cotracker- V1: 10.658980509195578 | V2: 7.132957488670791

                -vbench_subject- V1: 0.9640466784653456 | V2: 0.972228019133858
-sam_cotracker_pair- V1: -4.926480048799911 | V2: 4.926480048799911
"
model_001/video_088_02.mp4,model_001/video_088_00.mp4,"
                Prompt: A man carrying a colorful kite strides across the courtyard of an ornate embassy. The camera ascends, pulls back to reveal the grand building, then gracefully returns to its original position, showcasing intricate architectural details.

                V1: model_001/video_088_02.mp4 	 | 	 V2: model_001/video_088_00.mp4

                -Votes- V1: 0 | V2: 3

                -sam_cotracker- V1: 12.26660570080371 | V2: 5.197212615503503

                -vbench_subject- V1: 0.9756804547580004 | V2: 0.7845756379254346
-sam_cotracker_pair- V1: -0.324068963469605 | V2: 0.324068963469605
"
model_002/video_044_00.mp4,model_004/video_044_02.mp4,"
                Prompt: From a first-person medium shot, a boat glides through an icy sea, drifting past towering ice floes that shimmer in the cold, crisp air.

                V1: model_002/video_044_00.mp4 	 | 	 V2: model_004/video_044_02.mp4

                -Votes- V1: 0 | V2: 3

                -sam_cotracker- V1: 10.815101742910576 | V2: 4.719319717702869

                -vbench_subject- V1: 0.9290302450458208 | V2: 0.8489661090017304
-sam_cotracker_pair- V1: 2.8064129052945286 | V2: -2.8064129052945286
"
model_003/video_059_01.mp4,model_002/video_059_01.mp4,"
                Prompt: Water streams down a tiled shower; a point of view shot captures a hand reaching for a vibrant bottle of shampoo on a corner shelf, creating a sense of immersion with the camera's subtle, lifelike movements.

                V1: model_003/video_059_01.mp4 	 | 	 V2: model_002/video_059_01.mp4

                -Votes- V1: 0 | V2: 3

                -sam_cotracker- V1: 4.549984243395692 | V2: 2.146103061689142

                -vbench_subject- V1: 0.975051843277786 | V2: 0.9305740088224412
-sam_cotracker_pair- V1: 0.0 | V2: 0.0
"
model_005/video_071_01.mp4,model_005/video_071_00.mp4,"
                Prompt: On a sunny beach, one person swims joyfully with dolphins. The low-angle camera glides forward on a slider, revealing the glistening ocean waves and distant shoreline, creating a dynamic parallax effect.

                V1: model_005/video_071_01.mp4 	 | 	 V2: model_005/video_071_00.mp4

                -Votes- V1: 0 | V2: 3

                -sam_cotracker- V1: 21.303607991355136 | V2: 6.536415478933352

                -vbench_subject- V1: 0.9310718648076995 | V2: 0.879980344706633
-sam_cotracker_pair- V1: 16.60824746439964 | V2: -16.60824746439964
"
model_004/video_007_00.mp4,model_004/video_007_01.mp4,"
                Prompt: A man rides a jet ski down a tranquil river, his reflection shimmering on the water. As the wide-angle camera pans around, the lush shoreline and distant mountains shift dynamically in the background.

                V1: model_004/video_007_00.mp4 	 | 	 V2: model_004/video_007_01.mp4

                -Votes- V1: 0 | V2: 3

                -sam_cotracker- V1: 30.40761095625697 | V2: 7.843025512939824

                -vbench_subject- V1: 0.8824244134538756 | V2: 0.9629748470670596
-sam_cotracker_pair- V1: 22.56458544331716 | V2: -22.56458544331716
"
model_005/video_061_00.mp4,model_006/video_061_01.mp4,"
                Prompt: In a cozy kitchen, a cat is laying next to a man on the floor. The handheld camera moves around, showing the cat's reflection in the oven door.

                V1: model_005/video_061_00.mp4 	 | 	 V2: model_006/video_061_01.mp4

                -Votes- V1: 0 | V2: 3

                -sam_cotracker- V1: 12.57175371829183 | V2: 4.445265903813308

                -vbench_subject- V1: 0.6523452231616486 | V2: 0.9855100735237724
-sam_cotracker_pair- V1: 7.538840202065203 | V2: -7.538840202065203
"
model_006/video_081_00.mp4,model_002/video_081_01.mp4,"
                Prompt: In a bustling parking lot, a man is captured mid-air, jumping off a skateboard. The camera, shot on a Sony FS700, dynamically pans around him, revealing parked cars and scattered pedestrians in the background.

                V1: model_006/video_081_00.mp4 	 | 	 V2: model_002/video_081_01.mp4

                -Votes- V1: 0 | V2: 3

                -sam_cotracker- V1: 17.273841850416375 | V2: 10.694415041650522

                -vbench_subject- V1: 0.8768277714126989 | V2: 0.9101566458741824
-sam_cotracker_pair- V1: 5.270020203737382 | V2: -5.270020203737382
"
