v1,v2,caption
model_007/video_066_00.mp4,model_007/video_066_02.mp4,"
                Prompt: A kid bravely dives off a cliff into a lush indoor swimming pool as the helicopter camera turns left, revealing sunlit water, surrounding palms, and cheerful onlookers creating a dynamic, immersive scene.

                V1: model_007/video_066_00.mp4 	 | 	 V2: model_007/video_066_02.mp4

                -Votes- V1: 0 | V2: 3

                -sam_cotracker_pair- V1: 3.9902207468518576 | V2: -3.9902207468518576

                -vbench_subject- V1: 0.9537711869768736 | V2: 0.9732733589260518
-sam_cotracker- V1: 6.096479922321598 | V2: 3.3154481587700446
"
model_003/video_075_01.mp4,model_004/video_075_02.mp4,"
                Prompt: A drone smoothly dolly moves over a serene restaurant patio, casting shadows on three men engrossed in reading books, surrounded by lush plants and softly clinking cutlery in the background.

                V1: model_003/video_075_01.mp4 	 | 	 V2: model_004/video_075_02.mp4

                -Votes- V1: 0 | V2: 3

                -sam_cotracker_pair- V1: 0.7170768266080949 | V2: -0.7170768266080949

                -vbench_subject- V1: 0.9912710322634034 | V2: 0.8755145654903622
-sam_cotracker- V1: 2.744721964150929 | V2: 2.027645137542835
"
model_007/video_003_00.mp4,model_001/video_003_02.mp4,"
                Prompt: In an indoor firing range, a man gently feeds a woman, while the Red Dragon camera follows their movement, capturing the rows of targets and ammunition racks creating a dynamic and immersive scene.

                V1: model_007/video_003_00.mp4 	 | 	 V2: model_001/video_003_02.mp4

                -Votes- V1: 0 | V2: 3

                -sam_cotracker_pair- V1: 6.569350824558851 | V2: -6.569350824558851

                -vbench_subject- V1: 0.8157904755418041 | V2: 0.9308199663761214
-sam_cotracker- V1: 8.955172640276327 | V2: 2.3858218157174766
"
model_005/video_042_02.mp4,model_005/video_042_01.mp4,"
                Prompt: In a sunlit orchard, amidst rows of apple trees, a medium shot captures a person warmly hugging a friend. The camera arcs around them, revealing lush greenery and ripening fruit in the background.

                V1: model_005/video_042_02.mp4 	 | 	 V2: model_005/video_042_01.mp4

                -Votes- V1: 0 | V2: 3

                -sam_cotracker_pair- V1: 1.594795641930825 | V2: -1.594795641930825

                -vbench_subject- V1: 0.9329174334608664 | V2: 0.9529033685763052
-sam_cotracker- V1: 4.303722130995594 | V2: 2.446491192572516
"
model_002/video_010_02.mp4,model_006/video_010_02.mp4,"
                Prompt: A kid jumps off a pier into a pool, as the camera dynamically shifts, revealing boats docked in the background and seagulls perched on nearby pilings, creating an immersive, cinematic experience.

                V1: model_002/video_010_02.mp4 	 | 	 V2: model_006/video_010_02.mp4

                -Votes- V1: 0 | V2: 3

                -sam_cotracker_pair- V1: 2.202184329957704 | V2: -2.202184329957704

                -vbench_subject- V1: 0.8814699026445548 | V2: 0.9481916741320962
-sam_cotracker- V1: 4.869178913144489 | V2: 2.6669945831867854
"
model_004/video_036_02.mp4,model_004/video_036_00.mp4,"
                Prompt: The cinematic tracking shot moves through a cluttered dorm room, focusing on a lone spoon left on a messy desk, highlighting the chaotic yet personal student living space.

                V1: model_004/video_036_02.mp4 	 | 	 V2: model_004/video_036_00.mp4

                -Votes- V1: 0 | V2: 3

                -sam_cotracker_pair- V1: 2.5312779244075294 | V2: -2.5312779244075294

                -vbench_subject- V1: 0.8965987452841181 | V2: 0.8467068146532915
-sam_cotracker- V1: 7.748010343859908 | V2: 4.30582949718454
"
model_002/video_021_02.mp4,model_002/video_021_01.mp4,"
                Prompt: A high-angle view pushes in on a single person intently assembling a computer at a cluttered desk within a dentist's office, revealing dental chairs, equipment, and posters in the background.

                V1: model_002/video_021_02.mp4 	 | 	 V2: model_002/video_021_01.mp4

                -Votes- V1: 0 | V2: 3

                -sam_cotracker_pair- V1: 1.0537249358697207 | V2: -1.0537249358697207

                -vbench_subject- V1: 0.963253600647052 | V2: 0.9407937616109848
-sam_cotracker- V1: 3.4797895530970955 | V2: 2.608215729286174
"
model_002/video_021_02.mp4,model_004/video_021_01.mp4,"
                Prompt: A high-angle view pushes in on a single person intently assembling a computer at a cluttered desk within a dentist's office, revealing dental chairs, equipment, and posters in the background.

                V1: model_002/video_021_02.mp4 	 | 	 V2: model_004/video_021_01.mp4

                -Votes- V1: 0 | V2: 3

                -sam_cotracker_pair- V1: 2.865568031243245 | V2: -2.865568031243245

                -vbench_subject- V1: 0.963253600647052 | V2: 0.918831441815444
-sam_cotracker- V1: 3.4797895530970955 | V2: 1.588252949800344
"
model_000/video_073_02.mp4,model_000/video_073_00.mp4,"
                Prompt: In a sunlit junkyard, two women gracefully skateboard amid rusted car parts and old machinery, captured in slow-motion cinematic shots that reveal the depth and texture of their gritty surroundings.

                V1: model_000/video_073_02.mp4 	 | 	 V2: model_000/video_073_00.mp4

                -Votes- V1: 0 | V2: 3

                -sam_cotracker_pair- V1: 14.915696803453006 | V2: -14.915696803453006

                -vbench_subject- V1: 0.9404474993546804 | V2: 0.957152076686422
-sam_cotracker- V1: 20.583876778575583 | V2: 9.163539808921644
"
model_005/video_055_01.mp4,model_003/video_055_01.mp4,"
                Prompt: A single man swings a racket by an urban canal, captured in a long shot with a trucking camera movement, revealing the bustling cityscape and tranquil waterway in the background.

                V1: model_005/video_055_01.mp4 	 | 	 V2: model_003/video_055_01.mp4

                -Votes- V1: 0 | V2: 3

                -sam_cotracker_pair- V1: 3.826931319608021 | V2: -3.826931319608021

                -vbench_subject- V1: 0.909891016605332 | V2: 0.9715639174632404
-sam_cotracker- V1: 6.395412337021162 | V2: 2.5684810174131414
"
model_007/video_010_02.mp4,model_004/video_010_01.mp4,"
                Prompt: A kid jumps off a pier into a pool, as the camera dynamically shifts, revealing boats docked in the background and seagulls perched on nearby pilings, creating an immersive, cinematic experience.

                V1: model_007/video_010_02.mp4 	 | 	 V2: model_004/video_010_01.mp4

                -Votes- V1: 0 | V2: 3

                -sam_cotracker_pair- V1: 2.1642933323644 | V2: -2.1642933323644

                -vbench_subject- V1: 0.9549367152342276 | V2: 0.9700297349550592
-sam_cotracker- V1: 3.689674121264332 | V2: 2.163228932051391
"
model_002/video_090_01.mp4,model_002/video_090_02.mp4,"
                Prompt: In a sunny outdoor kennel, a person crouches, tying a knot on a dog leash. The camera trucks, revealing rows of kennels and playful dogs, creating a sense of depth and movement in the scene.

                V1: model_002/video_090_01.mp4 	 | 	 V2: model_002/video_090_02.mp4

                -Votes- V1: 0 | V2: 3

                -sam_cotracker_pair- V1: 0.5517083637950707 | V2: -0.5517083637950707

                -vbench_subject- V1: 0.9508267946541308 | V2: 0.95955361276865
-sam_cotracker- V1: 2.469874539779367 | V2: 1.9181661759842965
"
model_005/video_022_00.mp4,model_002/video_022_02.mp4,"
                Prompt: In an auto factory, a lone dog drinks water from a puddle amidst hulking machinery and assembly lines. The ground shot dolly camera moves forward, revealing industrial surroundings with the dog in sharp focus.

                V1: model_005/video_022_00.mp4 	 | 	 V2: model_002/video_022_02.mp4

                -Votes- V1: 0 | V2: 3

                -sam_cotracker_pair- V1: 8.072468943766237 | V2: -8.072468943766237

                -vbench_subject- V1: 0.9115192465425476 | V2: 0.9559064030647276
-sam_cotracker- V1: 10.453048145784036 | V2: 3.173069828244526
"
model_003/video_074_02.mp4,model_003/video_074_01.mp4,"
                Prompt: A lone kid sips from a cup in the entrance hall, his shadow cast on the floor as a drone performs a trucking shot, revealing the hall's grand architecture and intricate details.

                V1: model_003/video_074_02.mp4 	 | 	 V2: model_003/video_074_01.mp4

                -Votes- V1: 0 | V2: 3

                -sam_cotracker_pair- V1: 0.512216498739896 | V2: -0.512216498739896

                -vbench_subject- V1: 0.9433447213276572 | V2: 0.9846187486596728
-sam_cotracker- V1: 3.146758567240297 | V2: 2.634542068500401
"
model_004/video_051_01.mp4,model_004/video_051_00.mp4,"
                Prompt: A wide-angle shot pulls out to reveal many men hugging amid ancient ruins, their forms contrasting starkly with the crumbling stone structures and overgrown vegetation surrounding them.

                V1: model_004/video_051_01.mp4 	 | 	 V2: model_004/video_051_00.mp4

                -Votes- V1: 0 | V2: 3

                -sam_cotracker_pair- V1: 1.0257199541720994 | V2: -1.0257199541720994

                -vbench_subject- V1: 0.871801330817966 | V2: 0.8962883472911954
-sam_cotracker- V1: 3.589380013174922 | V2: 2.5636600590028227
"
model_002/video_026_01.mp4,model_004/video_026_02.mp4,"
                Prompt: A drone follows two men carrying a basket through the sprawling, complex machinery of an outdoor power plant, revealing towering structures and intricate pipes against a backdrop of clear blue sky.

                V1: model_002/video_026_01.mp4 	 | 	 V2: model_004/video_026_02.mp4

                -Votes- V1: 0 | V2: 3

                -sam_cotracker_pair- V1: 4.267313040980467 | V2: -4.267313040980467

                -vbench_subject- V1: 0.9794813444217046 | V2: 0.9507442281002136
-sam_cotracker- V1: 6.805092459201321 | V2: 1.9872665535234464
"
