v1,v2,caption
model_004/video_063_02.mp4,model_004/video_063_01.mp4,"
                Prompt: A woman cooks food on a fire escape. The helicopter camera performs a boom shot, capturing the urban landscape as it moves up and then back down, revealing nearby buildings and the bustling street below.

                V1: model_004/video_063_02.mp4 	 | 	 V2: model_004/video_063_01.mp4

                -Votes- V1: 0 | V2: 3

                -vbench_subject- V1: 0.8368246625727556 | V2: 0.8624155149450452

                -sam_cotracker- V1: 2.727077232713856 | V2: 3.690089832120474
-sam_cotracker_pair- V1: 0.8852807771502493 | V2: -0.8852807771502493
"
model_002/video_006_00.mp4,model_001/video_006_00.mp4,"
                Prompt: A young girl gently rocks a baby, navigating through a cozy bookstore with shelves of books looming overhead. The camera glides backward on a slider, revealing the intricate maze of literature and warm, inviting atmosphere.

                V1: model_002/video_006_00.mp4 	 | 	 V2: model_001/video_006_00.mp4

                -Votes- V1: 0 | V2: 3

                -vbench_subject- V1: 0.9360363254944484 | V2: 0.963422948797348

                -sam_cotracker- V1: 10.26896888715354 | V2: 2.621101530321501
-sam_cotracker_pair- V1: 7.647867356832039 | V2: -7.647867356832039
"
model_002/video_053_02.mp4,model_000/video_053_01.mp4,"
                Prompt: In a pet shop, a kid is playing beer pong amid colorful cages while the camera performs a dolly shot, seamlessly revealing rows of animals and pet supplies in the foreground and background.

                V1: model_002/video_053_02.mp4 	 | 	 V2: model_000/video_053_01.mp4

                -Votes- V1: 0 | V2: 3

                -vbench_subject- V1: 0.9249586403369904 | V2: 0.9708866408715644

                -sam_cotracker- V1: 9.127474511842076 | V2: 11.98184222434848
-sam_cotracker_pair- V1: -8.62701655872536 | V2: 8.62701655872536
"
model_004/video_059_00.mp4,model_007/video_059_00.mp4,"
                Prompt: Water streams down a tiled shower; a point of view shot captures a hand reaching for a vibrant bottle of shampoo on a corner shelf, creating a sense of immersion with the camera's subtle, lifelike movements.

                V1: model_004/video_059_00.mp4 	 | 	 V2: model_007/video_059_00.mp4

                -Votes- V1: 0 | V2: 3

                -vbench_subject- V1: 0.7911857244536633 | V2: 0.9663568697556728

                -sam_cotracker- V1: 5.2230517023356295 | V2: 3.284837356142993
-sam_cotracker_pair- V1: 4.500681047704501 | V2: -4.500681047704501
"
model_002/video_054_02.mp4,model_002/video_054_01.mp4,"
                Prompt: In an army base, a soldier is joyfully eating doughnuts. The scene is captured in slow motion from a low angle, giving a dynamic view of the bustling surroundings with military equipment and personnel in the background.

                V1: model_002/video_054_02.mp4 	 | 	 V2: model_002/video_054_01.mp4

                -Votes- V1: 0 | V2: 3

                -vbench_subject- V1: 0.8851866707205772 | V2: 0.9621677500506242

                -sam_cotracker- V1: 7.763338938698794 | V2: 5.801936554656272
-sam_cotracker_pair- V1: 1.9614023840425223 | V2: -1.9614023840425223
"
model_007/video_019_00.mp4,model_005/video_019_02.mp4,"
                Prompt: A wide-angle pull-out shot reveals a man on a cozy balcony, resting beside a laying dog, both mirrored in a window's reflection as they enjoy the interior view.

                V1: model_007/video_019_00.mp4 	 | 	 V2: model_005/video_019_02.mp4

                -Votes- V1: 0 | V2: 3

                -vbench_subject- V1: 0.9308669239032168 | V2: 0.956903784763156

                -sam_cotracker- V1: 2.8164973475316795 | V2: 2.9781015493497027
-sam_cotracker_pair- V1: 0.5809057379045903 | V2: -0.5809057379045903
"
model_005/video_046_02.mp4,model_005/video_046_01.mp4,"
                Prompt: In a cozy dining room, a woman holds a bottle as the wide-angle camera performs a follow shot, revealing a wooden table and chairs in the foreground and a vintage cabinet in the background.

                V1: model_005/video_046_02.mp4 	 | 	 V2: model_005/video_046_01.mp4

                -Votes- V1: 0 | V2: 3

                -vbench_subject- V1: 0.9197532583878736 | V2: 0.9869556504441058

                -sam_cotracker- V1: 4.376471598616574 | V2: 5.999211675195435
-sam_cotracker_pair- V1: 2.494009964154027 | V2: -2.494009964154027
"
model_004/video_073_00.mp4,model_000/video_073_02.mp4,"
                Prompt: In a sunlit junkyard, two women gracefully skateboard amid rusted car parts and old machinery, captured in slow-motion cinematic shots that reveal the depth and texture of their gritty surroundings.

                V1: model_004/video_073_00.mp4 	 | 	 V2: model_000/video_073_02.mp4

                -Votes- V1: 0 | V2: 3

                -vbench_subject- V1: 0.8813808447732701 | V2: 0.9404474993546804

                -sam_cotracker- V1: 3.931240849067847 | V2: 20.583876778575583
-sam_cotracker_pair- V1: -13.015067917548828 | V2: 13.015067917548828
"
model_000/video_015_01.mp4,model_002/video_015_01.mp4,"
                Prompt: Three men on a restaurant patio cheer and watch as one of them starts diving off a cliff. The low-angle camera turns right, revealing diners, tables, and an expansive ocean beyond the cliff.

                V1: model_000/video_015_01.mp4 	 | 	 V2: model_002/video_015_01.mp4

                -Votes- V1: 0 | V2: 3

                -vbench_subject- V1: 0.5955577987867097 | V2: 0.8126371050874392

                -sam_cotracker- V1: 13.249766147930451 | V2: 42.35946278789637
-sam_cotracker_pair- V1: -6.643781855622315 | V2: 6.643781855622315
"
model_005/video_017_00.mp4,model_005/video_017_01.mp4,"
                Prompt: A man is feeding a dog in a bustling pet shop. The camera pulls out, revealing rows of cages, colorful pet supplies, and busy staff and customers in the background, creating a lively and dynamic scene.

                V1: model_005/video_017_00.mp4 	 | 	 V2: model_005/video_017_01.mp4

                -Votes- V1: 0 | V2: 3

                -vbench_subject- V1: 0.9397447219514472 | V2: 0.9836263356246348

                -sam_cotracker- V1: 9.20097182380695 | V2: 4.104112342336562
-sam_cotracker_pair- V1: 3.6587149810102777 | V2: -3.6587149810102777
"
