v1,v2,caption
model_005/video_035_02.mp4,model_000/video_035_01.mp4,"
                Prompt: In a cinematic shot from a legislative chamber, the camera glides forward on a slider, revealing a reflective sink in the foreground, capturing the grandiose assembly surroundings through its gleaming surface.

                V1: model_005/video_035_02.mp4 	 | 	 V2: model_000/video_035_01.mp4

                -Votes- V1: 0 | V2: 3

                -vbench_motion_smoothness- V1: 0.9938796322595638 | V2: 0.9961298140205156

                -monst3r_theta_consistency- V1: 4.175945192383992e-05 | V2: 5.165069145250204e-05
-monst3r_v2_theta_consistency- V1: 4.840688280135429e-05 | V2: 5.0008303159071454e-05
-vggsfm_theta_consistency- V1: 8.39785878399568e-05 | V2: 0.0001302952561007
"
model_001/video_061_02.mp4,model_001/video_061_00.mp4,"
                Prompt: In a cozy kitchen, a cat is laying next to a man on the floor. The handheld camera moves around, showing the cat's reflection in the oven door.

                V1: model_001/video_061_02.mp4 	 | 	 V2: model_001/video_061_00.mp4

                -Votes- V1: 0 | V2: 3

                -vbench_motion_smoothness- V1: 0.9805045268875336 | V2: 0.9837005929325572

                -monst3r_theta_consistency- V1: 0.0002630402307854 | V2: 0.0003624837752354
-monst3r_v2_theta_consistency- V1: 0.0002815309118835 | V2: 0.0003320059244059
-vggsfm_theta_consistency- V1: 0.0081396668436988 | V2: 0.0391794505891867
"
model_000/video_026_01.mp4,model_003/video_026_02.mp4,"
                Prompt: A drone follows two men carrying a basket through the sprawling, complex machinery of an outdoor power plant, revealing towering structures and intricate pipes against a backdrop of clear blue sky.

                V1: model_000/video_026_01.mp4 	 | 	 V2: model_003/video_026_02.mp4

                -Votes- V1: 0 | V2: 3

                -vbench_motion_smoothness- V1: 0.9895250894532196 | V2: 0.992639227329418

                -monst3r_theta_consistency- V1: 4.795813420820546e-05 | V2: 7.04857839111986e-05
-monst3r_v2_theta_consistency- V1: 6.920903115465819e-05 | V2: 6.21117101814595e-05
-vggsfm_theta_consistency- V1: 0.0001965128266451 | V2: 0.0008939516610809
"
model_007/video_068_02.mp4,model_006/video_068_00.mp4,"
                Prompt: A man kicks a football outside a rustic hunting lodge as a helicopter camera captures the scene in slow motion, revealing snow-covered trees and distant mountains with a sense of dynamic depth.

                V1: model_007/video_068_02.mp4 	 | 	 V2: model_006/video_068_00.mp4

                -Votes- V1: 0 | V2: 3

                -vbench_motion_smoothness- V1: 0.9927384017832952 | V2: 0.9950167887665062

                -monst3r_theta_consistency- V1: 7.395476860116709e-05 | V2: 5.422142033693184e-05
-monst3r_v2_theta_consistency- V1: 6.998343696625765e-05 | V2: 6.45611161950832e-05
-vggsfm_theta_consistency- V1: 0.0001984913786064 | V2: 0.0005343172870774
"
model_007/video_073_01.mp4,model_004/video_073_00.mp4,"
                Prompt: In a sunlit junkyard, two women gracefully skateboard amid rusted car parts and old machinery, captured in slow-motion cinematic shots that reveal the depth and texture of their gritty surroundings.

                V1: model_007/video_073_01.mp4 	 | 	 V2: model_004/video_073_00.mp4

                -Votes- V1: 0 | V2: 3

                -vbench_motion_smoothness- V1: 0.986027631008248 | V2: 0.9884899380232944

                -monst3r_theta_consistency- V1: 5.25812415020016e-05 | V2: 0.0001259802254411
-monst3r_v2_theta_consistency- V1: 5.681836034334343e-05 | V2: 0.0001246620780567
-vggsfm_theta_consistency- V1: 0.0007661078016701 | V2: 0.0016854282679481
"
model_000/video_051_01.mp4,model_000/video_051_02.mp4,"
                Prompt: A wide-angle shot pulls out to reveal many men hugging amid ancient ruins, their forms contrasting starkly with the crumbling stone structures and overgrown vegetation surrounding them.

                V1: model_000/video_051_01.mp4 	 | 	 V2: model_000/video_051_02.mp4

                -Votes- V1: 0 | V2: 3

                -vbench_motion_smoothness- V1: 0.991555609927227 | V2: 0.9934194913144012

                -monst3r_theta_consistency- V1: 3.442722972657464e-05 | V2: 6.513147886002175e-05
-monst3r_v2_theta_consistency- V1: 4.0673920263698905e-05 | V2: 6.627093147085206e-05
-vggsfm_theta_consistency- V1: 7.243549515590745e-05 | V2: 0.0001310822658419
"
model_000/video_064_00.mp4,model_001/video_064_00.mp4,"
                Prompt: Two people pirouette gracefully on an athletic field. The smooth dolly shot captures their synchronized movement, casting long shadows across the turf as the background subtly shifts, revealing the expanse of the field.

                V1: model_000/video_064_00.mp4 	 | 	 V2: model_001/video_064_00.mp4

                -Votes- V1: 0 | V2: 3

                -vbench_motion_smoothness- V1: 0.9783921054854556 | V2: 0.996011042486244

                -monst3r_theta_consistency- V1: 5.120151944187912e-05 | V2: 5.470108033841673e-05
-monst3r_v2_theta_consistency- V1: 6.114533584695529e-05 | V2: 5.8736858753763895e-05
-vggsfm_theta_consistency- V1: 0.0001685237181765 | V2: 0.0033635421123909
"
model_000/video_007_00.mp4,model_000/video_007_01.mp4,"
                Prompt: A man rides a jet ski down a tranquil river, his reflection shimmering on the water. As the wide-angle camera pans around, the lush shoreline and distant mountains shift dynamically in the background.

                V1: model_000/video_007_00.mp4 	 | 	 V2: model_000/video_007_01.mp4

                -Votes- V1: 0 | V2: 3

                -vbench_motion_smoothness- V1: 0.9795176630708868 | V2: 0.984713875776648

                -monst3r_theta_consistency- V1: 0.0003079963071802 | V2: 0.0002944451118027
-monst3r_v2_theta_consistency- V1: 0.0003193444812203 | V2: 0.0002576129521676
-vggsfm_theta_consistency- V1: 0.0019353329660274 | V2: 0.0032869940266019
"
model_007/video_073_01.mp4,model_003/video_073_01.mp4,"
                Prompt: In a sunlit junkyard, two women gracefully skateboard amid rusted car parts and old machinery, captured in slow-motion cinematic shots that reveal the depth and texture of their gritty surroundings.

                V1: model_007/video_073_01.mp4 	 | 	 V2: model_003/video_073_01.mp4

                -Votes- V1: 0 | V2: 3

                -vbench_motion_smoothness- V1: 0.986027631008248 | V2: 0.9934525219678

                -monst3r_theta_consistency- V1: 5.25812415020016e-05 | V2: 6.935685327025265e-05
-monst3r_v2_theta_consistency- V1: 5.681836034334343e-05 | V2: 6.778274974933682e-05
-vggsfm_theta_consistency- V1: 0.0007661078016701 | V2: 0.0004139162323325
"
model_000/video_030_00.mp4,model_000/video_030_02.mp4,"
                Prompt: In a spacious parking lot, a woman lovingly hugs a teddy bear; the camera performs an arc shot, revealing rows of cars and the distant city skyline in the background.

                V1: model_000/video_030_00.mp4 	 | 	 V2: model_000/video_030_02.mp4

                -Votes- V1: 0 | V2: 3

                -vbench_motion_smoothness- V1: 0.9682022960290084 | V2: 0.990421005368454

                -monst3r_theta_consistency- V1: 0.0008667996765113 | V2: 0.0005297017666725
-monst3r_v2_theta_consistency- V1: 0.0012463574828338 | V2: 0.0005389893461323
-vggsfm_theta_consistency- V1: 0.0023519782159716 | V2: 0.0040567959785903
"
